formacode,description,field,generic_term
24096,moyenne tension,240 ELECTRICITE,24086 DISTRIBUTION ELECTRICITE
24089,éclairage public,240 ELECTRICITE,24066 INSTALLATION ELECTRIQUE
24099,électricité équipement industriel,240 ELECTRICITE,24066 INSTALLATION ELECTRIQUE
24069,maintenance installation électrique,240 ELECTRICITE,24066 INSTALLATION ELECTRIQUE
24079,onduleur,240 ELECTRICITE,24066 INSTALLATION ELECTRIQUE
24057,perturbation électrique,240 ELECTRICITE,24066 INSTALLATION ELECTRIQUE
24067,réseau électrique intelligent,240 ELECTRICITE,24066 INSTALLATION ELECTRIQUE
24047,sécurité électrique,240 ELECTRICITE,24066 INSTALLATION ELECTRIQUE
24049,habilitation électrique,240 ELECTRICITE,24047 SECURITE ELECTRIQUE
24039,norme électrique,240 ELECTRICITE,24047 SECURITE ELECTRIQUE
24024,mesure électrique,240 ELECTRICITE,24054 ELECTRICITE
24016,montage câblage électrique,240 ELECTRICITE,24054 ELECTRICITE
24027,schéma électrique,240 ELECTRICITE,24054 ELECTRICITE
24154,énergie,241 ENERGIE,"00114 ENERGIE, ELECTRICITE"
24141,cogénération,241 ENERGIE,24154 ENERGIE
24158,énergie électrique,241 ENERGIE,24154 ENERGIE
24134,énergie nucléaire,241 ENERGIE,24154 ENERGIE
24103,combustible nucléaire,241 ENERGIE,24134 ENERGIE NUCLEAIRE
24114,retraitement combustible irradié,241 ENERGIE,24103 COMBUSTIBLE NUCLEAIRE
24132,prévention sécurité nucléaire,241 ENERGIE,24134 ENERGIE NUCLEAIRE
24130,habilitation nucléaire,241 ENERGIE,24132 PREVENTION SECURITE NUCLEAIRE
24121,radioprotection,241 ENERGIE,24132 PREVENTION SECURITE NUCLEAIRE
24101,radioprotection milieu médical,241 ENERGIE,24121 RADIOPROTECTION
24112,radioactivité,241 ENERGIE,24134 ENERGIE NUCLEAIRE
24102,mesure radioactivité,241 ENERGIE,24112 RADIOACTIVITE
24147,énergie renouvelable,241 ENERGIE,24154 ENERGIE
24129,biomasse,241 ENERGIE,24147 ENERGIE RENOUVELABLE
24125,agrocarburant,241 ENERGIE,24129 BIOMASSE
24128,biogaz,241 ENERGIE,24129 BIOMASSE
24126,bois énergie,241 ENERGIE,24129 BIOMASSE
24136,énergie éolienne,241 ENERGIE,24147 ENERGIE RENOUVELABLE
24127,énergie géothermique,241 ENERGIE,24147 ENERGIE RENOUVELABLE
24139,énergie hydraulique,241 ENERGIE,24147 ENERGIE RENOUVELABLE
24118,énergie solaire,241 ENERGIE,24147 ENERGIE RENOUVELABLE
24146,énergie solaire photovoltaïque,241 ENERGIE,24118 ENERGIE SOLAIRE
24148,énergie solaire thermique,241 ENERGIE,24118 ENERGIE SOLAIRE
24142,pompe chaleur,241 ENERGIE,24147 ENERGIE RENOUVELABLE
24162,gestion énergie,241 ENERGIE,24154 ENERGIE
24111,audit énergétique,241 ENERGIE,24162 GESTION ENERGIE
24170,conseil énergie,241 ENERGIE,24162 GESTION ENERGIE
24167,hydrocarbure,241 ENERGIE,24154 ENERGIE
24179,charbon,241 ENERGIE,24167 HYDROCARBURE
24189,gaz,241 ENERGIE,24167 HYDROCARBURE
24176,pétrole,241 ENERGIE,24167 HYDROCARBURE
24197,carburant aéronautique,241 ENERGIE,24176 PETROLE
24174,fuel domestique,241 ENERGIE,24176 PETROLE
24195,fuel lourd,241 ENERGIE,24176 PETROLE
24196,gazole,241 ENERGIE,24176 PETROLE
22654,génie climatique,226 GENIE CLIMATIQUE,"00114 ENERGIE, ELECTRICITE"
22633,appareil pression,226 GENIE CLIMATIQUE,22654 GENIE CLIMATIQUE
